VPN,Background Date,URL,Pricing,Payment Information,Extra Options,Trial Information,Account Creation Information,Supported OS,OS Applications,Browser Extensions,Other Devices,Number of Devices/Connections,Encryption,2FA,AdBlock,Supported Protocols,Multi-Hop,P2P,Static IP,Killswitch,Server Locations,Data Collection Policy,Data Retained,Advertising Data,Payment Data,Data Retention Timeline,Ownership,Corporate HQ,Country of Governance,Notes,Recent News,Reported Malware/Malicious Intent
text,date (MM/DD/YY),URL,text,text,text,text,text,MacOS; Windows; Linux; iOS; Android;,Windows; iOS; Android; MacOS; Linux,text,text,integer; 'Unlimited',text,Yes; No; Optional,Yes; No,text,Yes; No,Yes; No,Yes; No,text,text,text,text,text,text,text,text,text,text,text,text,text
IPVanish,1/9/22,https://ipvanish.com,"$10.99/month; $3.75/month/first year, $7.50/month/year afterwards","Debit/Credit Card: Visa, Mastercard, AMEX, JCB, Discover; PayPal","VPN + Backup:
$12.99/month, $4.58/month/first year, $9.17/month/year afterwards",None,"Email Address, password","MacOS, Windows, Linux, iOS, Android","MacOS, Windows, iOS, Android",Chrome OS,"Fire TV, Routers: DD-WRT",Unlimited,AES-256,No,No,"IKEv2, OpenVPN (TCP/UDP), L2TP, PPTP",No,Yes,No,"MacOS, Windows, Android","South Korea; Japan; Malaysia; Israel; India; Taiwan; UAE; Singapore; United States; Canada; Mexico; Costa Rica; Australia, New Zealand, South Africa, Columbia, Argentina; Brazil; Peru; Chile; United Kingdom; France; Sweden; Netherlands; Spain; Hungary; Moldova; Ireland; Albania; Poland; Estonia; Slovenia; Iceland; Slovakia; Italy; Switzerland; Germany; Norway; Bulgaria; Denmark; Serbia; Finland; Latvia; Portugal; Belgium; Greece; Romania; Croatia; Czech Republic; Austria; Luxembourg;",Zero Log Policy,"Registration information: email address, credit card information, IP address, affiliate tracking data; Aggregated anonymous personal data: browser type, device type, operating system, average time spent on our site, pages visited on the site, interactions with our content or advertising, gender, age, language preference, and country; Aggregated anonymous app data: User’s language preference, device brand, device model, OS version, country, crash reports, session lengths, server usage, protocol, build version, UI interactions, API requests and response codes, and app build version;","Cookie ID, browser type, device type, OS, average time spent on site, pages visited on site, gender, age, language preference, country;","Email address, name , billing information, credit card information, IP address, affiliate tracking data","""We take every reasonable step to limit the volume and minimize the retention period of the Personal data that we Process.""",Ziff Davis,"New York, NY",United States,,,
